#https://derstandard.at/2000083855951/Mehrere-Verletzte-nach-Gewalttat-mit-Messer-in-Bus-in-Luebeck, accessed Jul-20-2018, 5:00PM CT
# pos, neg
pos, neg
6, 4
1, 0
12, 1
3, 0
4, 0
15, 0
13, 0
3, 1
6, 1
3, 0
6, 1
10, 3
4, 4
16, 4
20, 0
5, 0
3, 0
1, 0
22, 1
1, 0
1, 1
4, 0
6, 1
1, 0
2, 0
3, 1
8, 1
22, 0
43, 1
3, 32
6, 0
3, 1
36, 1
26, 2
23, 0
8, 0
94, 3
1, 21
10, 0
6, 0
19, 0
30, 0
7, 0
2, 0
1, 1
17, 1
7, 0
16, 0
1, 0
33, 3
4, 0
0, 17
3, 0
34, 4
2, 0
19, 0
3, 1
11, 9
1, 0
2, 0
7, 0
2, 0
2, 1
1, 0
1, 0
28, 1
9, 1
3, 0
2, 90
5, 1
20, 2
10, 0
3, 0
12, 0
9, 5
2, 0
8, 6
2, 2
4, 1
2, 0
2, 24
19, 0
1, 14
2, 0
1, 0
22, 3
5, 0
24, 1
26, 1
14, 0
2, 0
2, 1
2, 0
11, 34
5, 2
0, 1
1, 1
29, 1
2, 29
5, 0
8, 0
7, 0
6, 0
1, 0
3, 0
1, 0
3, 0
3, 0
19, 0
0, 14
5, 0
4, 0
3, 0
87, 5
1, 0
1, 1
1, 0
3, 1
2, 0
1, 10
24, 1
3, 0
4, 3
0, 2
4, 0
2, 0
0, 2
0, 2
1, 0
18, 2
1, 7
0, 1
56, 9
0, 1
9, 2
3, 0
46, 3
2, 1
4, 5
3, 0
3, 0
3, 0
1, 0
5, 5
1, 1
2, 0
7, 1
28, 1
0, 1
5, 3
2, 1
7, 50
1, 0
1, 1
42, 0
0, 3
5, 54
19, 1
0, 1
1, 0
1, 0
1, 0
3, 0
2, 0
2, 0
90, 1
1, 0
2, 65
0, 1
5, 0
2, 0
16, 0
4, 0
20, 0
3, 18
4, 1
34, 2
35, 2
11, 1
23, 0
2, 1
2, 0
2, 1
36, 3
15, 0
10, 0
3, 0
1, 7
5, 1
2, 0
1, 2
8, 1
0, 27
6, 1
8, 1
11, 0
6, 0
13, 0
3, 0
11, 0
7, 0
5, 15
2, 1
2, 0
47, 6
4, 2
3, 1
7, 2
1, 1
1, 6
1, 1
0, 1
37, 7
7, 2
26, 4
40, 3
1, 0
116, 6
0, 1
7, 1
27, 0
22, 1
28, 3
2, 1
8, 30
5, 3
9, 5
3, 13
2, 0
2, 0
3, 0
127, 18
5, 13
8, 2
2, 1
11, 10
9, 2
0, 2
9, 33
1, 5
65, 5
12, 50
2, 5
44, 0
9, 3
8, 22
3, 2
2, 2
71, 2
5, 2
5, 0
23, 0
2, 4
7, 1
38, 3
3, 1
7, 0
0, 1
1, 0
88, 10
13, 0
2, 4
28, 3
4, 2
40, 2
8, 0
27, 1
2, 0
31, 0
10, 0
1, 0
50, 1
3, 0
32, 6
51, 0
53, 1
31, 0
27, 0
15, 0
17, 0
16, 0
71, 1
28, 1
28, 0
5, 0
3, 0
15, 0

